,G_MO,G_NOD,G_R,G_Rnd,R_D,Y
1990-09-30,0.007008420663206466,0.00492043024658535,0.2039954410679852,0.20608343148460637,0.015737361731520703,1.0214301043318432
1990-12-31,0.006759597368560637,0.004952218393009663,0.20551823475923706,0.20732561373478803,0.01560972975217523,1.004891497962696
1991-03-31,0.006451427237357131,0.004966585383911132,0.2048533827417273,0.2063382245951733,0.015930786631974156,0.9930501869898628
1991-06-30,0.006196450249357428,0.004978178309628236,0.20407822717320082,0.20529649911293002,0.016381476122476805,0.9936347248659588
1991-09-30,0.005975749422080195,0.0049749983157838,0.20271616371110304,0.20371691481739942,0.01625038306641827,0.9914748273237113
1991-12-31,0.005798602205339884,0.004966716594197475,0.2005604309328889,0.20139231654403125,0.016485241907083448,0.9877522150163127
1992-03-31,0.0056664705906524235,0.004957849873899765,0.20118418956246786,0.20189281027922054,0.016288763751217426,0.9923032350374731
1992-06-30,0.0055191700019678125,0.004936908953472045,0.1998735687293986,0.20045582977789433,0.016217601270140446,0.9956853194893288
1992-09-30,0.005377932669096356,0.004921361627440087,0.20041295304643778,0.200869524088094,0.015985306027362912,0.9980486423278194
1992-12-31,0.005224966871517256,0.004898368988161721,0.19893990949996823,0.1992665073833238,0.015976928748884227,1.0008881279428001
1993-03-31,0.005078810780984858,0.0048812883309558705,0.19478226957327074,0.1949797920232997,0.015709244315404203,0.99492457264193
1993-06-30,0.004942741326257626,0.0048639888089621235,0.19326071917508916,0.19333947169238463,0.015580893870924874,0.9930020117805755
1993-09-30,0.004818808301184445,0.0048481526860633,0.19187645969675357,0.19184711531187473,0.015214632024614327,0.9899555514019364
1993-12-31,0.004709325473542967,0.004836497131900245,0.19135559174162922,0.19122842008327195,0.015106885938140227,0.9954784517226132
1994-03-31,0.004613409461169929,0.004830319856197601,0.1878245046287864,0.18760759423375875,0.01488176259942754,0.9970664639531264
1994-06-30,0.00453345243359212,0.00482170343650907,0.18764199739596069,0.18735374639304375,0.014870791783402173,1.0023681040402788
1994-09-30,0.004465566447776486,0.004809826976615456,0.18968318675599197,0.189338926227153,0.01504121170315967,0.9999206642068723
1994-12-31,0.004413638286819218,0.004795701586458531,0.18701124076693787,0.18662917746729857,0.015179347988803731,1.0029549060004839
1995-03-31,0.004375060995069942,0.004781574425713268,0.18635668895242424,0.18595017552178095,0.015512520671566225,0.9980128941516158
1995-06-30,0.004335356114784157,0.0047532343826423235,0.18586890213865784,0.18545102387079965,0.01567488612898799,0.9924604934204118
1995-09-30,0.004287773607566015,0.0047103517775646895,0.18371030596520316,0.18328772779520452,0.015884134819112775,0.9922741144165854
1995-12-31,0.004237749951315484,0.004654644654884463,0.1807114949549014,0.18029460025133245,0.015939979183984473,0.9903269976877755
